Company Name,Website,Domain,Phone,City,Country,Email,Type,Rating,Google Maps
"Magazin ""Aromatnyy Mir""",http://aromatniymir.kz/,aromatniymir.kz,+7 706 663 1438,Almaty,Kazakhstan,,HoReCa,4.7,https://maps.google.com/?cid=5089342064462034168&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Kazakhstan Wines & Spirits,,,+7 776 444 8866,Almaty,Kazakhstan,,Beverage/Liquor,0,https://maps.google.com/?cid=6112908228348735412&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Montebianco,,,+7 777 550 0863,Almaty,Kazakhstan,,Wine/Liquor Store,4.9,https://maps.google.com/?cid=17362589742472391664&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Champagne Wine gallery & Restaurant,https://champagne.kz/,champagne.kz,+7 747 132 2222,Almaty,Kazakhstan,mail@champagne.kz,HoReCa,4.6,https://maps.google.com/?cid=7202812229709308251&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
AlmaWine,http://almawine.kz/,almawine.kz,+7 771 800 0929,Almaty,Kazakhstan,2025-03-17@12.32.18.jpeg,Wine/Liquor Store,5.0,https://maps.google.com/?cid=4147175069505344939&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Wine Time,,,+7 708 111 8939,Almaty,Kazakhstan,,Wine/Liquor Store,4.7,https://maps.google.com/?cid=16129408259757978388&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Brut,,,+7 771 622 9999,Almaty,Kazakhstan,,Wine/Liquor Store,5.0,https://maps.google.com/?cid=835204176501181573&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Global Wine & Spirits,http://globalws.kz/,globalws.kz,+7 727 331 6964,Almaty,Kazakhstan,,Beverage/Liquor,4.7,https://maps.google.com/?cid=2835520481106635442&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
AlmaWine,https://almawine.kz/,almawine.kz,+7 771 506 8060,Almaty,Kazakhstan,2025-03-17@12.32.18.jpeg,Wine/Liquor Store,0,https://maps.google.com/?cid=2801036853844941342&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Vinnaya Lavka Almaty,http://wine-shop.kz/,wine-shop.kz,+7 7272 36 73 36,Almaty,Kazakhstan,wine-shop@mail.ru,Wine/Liquor Store,4.7,https://maps.google.com/?cid=18021474314589429502&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Arba Wine,http://www.arbawine.com/,www.arbawine.com,+7 7272 79 20 51,Almaty,Kazakhstan,gaziz.arbawine@gmail.com,Wine/Liquor Store,4.7,https://maps.google.com/?cid=9591225049119199140&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Line Brew,,,+7 701 013 7713,Almaty,Kazakhstan,,Wine/Liquor Store,5.0,https://maps.google.com/?cid=7837726749242473571&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ELITALCO.KZ,https://newelitalco.kz/,newelitalco.kz,+7 778 322 7755,Almaty,Kazakhstan,info@crouton.kz,Distributore (probabile),4.4,https://maps.google.com/?cid=16512163126473700029&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Agora,,,,Almaty,Kazakhstan,,Wine/Liquor Store,4.7,https://maps.google.com/?cid=17657390350578203784&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
issyk wine,,,+7 727 338 6180,Almaty,Kazakhstan,,Wine/Liquor Store,3.7,https://maps.google.com/?cid=17829010053486064482&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Alcomag,http://alcomag.kz/,alcomag.kz,+7 708 972 1259,Almaty,Kazakhstan,wine-shop@mail.ru,Wine/Liquor Store,4.3,https://maps.google.com/?cid=8233166647760286267&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Alcolux.kz Магазин спиртных напитков с доставкой до двери .,http://alcolux.kz/,alcolux.kz,+7 708 613 4967,Almaty,Kazakhstan,,Wine/Liquor Store,4.6,https://maps.google.com/?cid=8198851310759260944&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Barik,https://barik.kz/,barik.kz,+7 771 800 8689,Almaty,Kazakhstan,barik.pivo@mail.ru,Wine/Liquor Store,4.5,https://maps.google.com/?cid=14733156379470952597&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
