Company Name,Website,Domain,Phone,City,Country
"Magazin ""Aromatnyy Mir""",http://aromatniymir.kz/,aromatniymir.kz,+7 706 663 1438,Almaty,Kazakhstan
Kazakhstan Wines & Spirits,,,+7 776 444 8866,Almaty,Kazakhstan
Montebianco,,,+7 777 550 0863,Almaty,Kazakhstan
Champagne Wine gallery & Restaurant,https://champagne.kz/,champagne.kz,+7 747 132 2222,Almaty,Kazakhstan
AlmaWine,http://almawine.kz/,almawine.kz,+7 771 800 0929,Almaty,Kazakhstan
Wine Time,,,+7 708 111 8939,Almaty,Kazakhstan
Brut,,,+7 771 622 9999,Almaty,Kazakhstan
Global Wine & Spirits,http://globalws.kz/,globalws.kz,+7 727 331 6964,Almaty,Kazakhstan
AlmaWine,https://almawine.kz/,almawine.kz,+7 771 506 8060,Almaty,Kazakhstan
Vinnaya Lavka Almaty,http://wine-shop.kz/,wine-shop.kz,+7 7272 36 73 36,Almaty,Kazakhstan
Arba Wine,http://www.arbawine.com/,www.arbawine.com,+7 7272 79 20 51,Almaty,Kazakhstan
Line Brew,,,+7 701 013 7713,Almaty,Kazakhstan
ELITALCO.KZ,https://newelitalco.kz/,newelitalco.kz,+7 778 322 7755,Almaty,Kazakhstan
Agora,,,,Almaty,Kazakhstan
issyk wine,,,+7 727 338 6180,Almaty,Kazakhstan
Alcomag,http://alcomag.kz/,alcomag.kz,+7 708 972 1259,Almaty,Kazakhstan
Alcolux.kz Магазин спиртных напитков с доставкой до двери .,http://alcolux.kz/,alcolux.kz,+7 708 613 4967,Almaty,Kazakhstan
Barik,https://barik.kz/,barik.kz,+7 771 800 8689,Almaty,Kazakhstan
Сеть разливных напитков «АЮ»,,,+7 708 971 0325,Almaty,Kazakhstan
Nicolas,,,+7 727 354 7526,Almaty,Kazakhstan
XO,https://newxo.kz/,newxo.kz,+7 700 780 8080,Almaty,Kazakhstan
Coca Cola Almaty Bottlers,,,+7 702 888 0000,Almaty,Kazakhstan
Magazin Napitkov Sosed,,,+7 705 710 0555,Almaty,Kazakhstan
"Old Monk индйиский ром - ТОО ""All Drinks (Ол Дринкс)""",,,+7 747 781 8328,Almaty,Kazakhstan
АО Caspian Beverage Holding,http://www.zhigulevskoe.kz/,www.zhigulevskoe.kz,+7 727 378 7487,Almaty,Kazakhstan
"ТОО ""Caravan Beverage Group""",,,+7 7272 42 32 62,Almaty,Kazakhstan
Okto Beer Fest,,,,Almaty,Kazakhstan
FOODPRO.KZ,https://foodpro.kz/,foodpro.kz,+7 747 580 1616,Almaty,Kazakhstan
Mondelēz Kazakhstan,,,+7 727 356 1400,Almaty,Kazakhstan
Kazakhstan Beer Company,https://www.kbc.kz/,www.kbc.kz,+7 777 311 7852,Almaty,Kazakhstan
Marlin,,,+7 777 307 6613,Almaty,Kazakhstan
Alcomarket,,,+7 7272 79 56 91,Almaty,Kazakhstan
Barik,https://barik.kz/,barik.kz,+7 771 558 7197,Almaty,Kazakhstan
Бар Магазин Пивоварня Pivzavod,https://web.facebook.com/pg/Pivzavod.kz,web.facebook.com/pg/Pivzavod.kz,+7 775 801 8108,Almaty,Kazakhstan
Toot,https://tootapp.kz/,tootapp.kz,+7 707 938 7183,Almaty,Kazakhstan
Alcomarket,,,,Almaty,Kazakhstan
"Dostavka Alkogolya V Almaty Za 10-20 Min, Kruglosutochno",https://tootapp.kz/,tootapp.kz,+7 707 938 7183,Almaty,Kazakhstan
"""Raimbek-Bottlers"" LLP",,,+7 727 330 4646,Almaty,Kazakhstan
Alcomarket,,,+7 727 375 7944,Almaty,Kazakhstan
Territoriya Vina,https://www.instagram.com/terra_wine_kz?igsh=MTMxbm1icWZtbXFrMg==,www.instagram.com/terra_wine_kz?igsh=MTMxbm1icWZtbXFrMg==,+7 771 718 2281,Almaty,Kazakhstan
Good Wine,https://instagram.com/goodwine.kz,instagram.com/goodwine.kz,+7 7272 72 20 18,Almaty,Kazakhstan
Завод Winnac,,,+7 727 381 5001,Almaty,Kazakhstan
Volna,https://www.volna.kz/,www.volna.kz,+7 775 007 0795,Almaty,Kazakhstan
"""CHIN-CHIN"" алкомаркет",,,+7 771 333 6666,Almaty,Kazakhstan
Alkomarket,,,+7 747 542 7017,Almaty,Kazakhstan
Provino wine bar & store,http://provino.com.kz/,provino.com.kz,+7 778 425 2221,Astana,Kazakhstan
Arba Wine (Арба Вайн),http://arbawine.com/,arbawine.com,+7 777 107 4672,Astana,Kazakhstan
The Wine Cafe,,,+7 777 666 0515,Astana,Kazakhstan
Cantina del Gusto wine shop,http://cantina.kz/,cantina.kz,+7 701 481 9055,Astana,Kazakhstan
Las Tapas,http://www.monte-bianco.kz/,www.monte-bianco.kz,+7 7172 40 34 07,Astana,Kazakhstan
Винотека The Wine Астана,,,+7 776 197 1111,Astana,Kazakhstan
Yellow Bottle,,,+7 702 629 8245,Astana,Kazakhstan
V Gostyakh U Barabashki,http://barabashka.kz/,barabashka.kz,+7 7172 32 81 19,Astana,Kazakhstan
"Pivnoy Magazin ""Tsentr Piva""",,,+7 7172 62 65 65,Astana,Kazakhstan
Astana Mir Vkusa,https://vkusmart.vmv.kz/,vkusmart.vmv.kz,+7 7172 32 00 54,Astana,Kazakhstan
Astana Mir Vkusa,https://vkusmart.vmv.kz/,vkusmart.vmv.kz,+7 7172 79 04 07,Astana,Kazakhstan
ZETA,https://astana.zeta.kz/,astana.zeta.kz,+7 7172 26 82 82,Astana,Kazakhstan
Mounte Bianko,,,,Astana,Kazakhstan
ZEARIS CHACHA,,,+7 7172 26 52 65,Astana,Kazakhstan
Carabao Kazakhstan,http://www.carabaoenergy.co.uk/,www.carabaoenergy.co.uk,+7 775 761 8892,Astana,Kazakhstan
НордТел,http://nordtel.kz/sale.html,nordtel.kz/sale.html,+7 701 958 6145,Astana,Kazakhstan
Too Talgat-Eksport,http://talgat-eksport.all.biz/?utm_source=google&utm_medium=gmb&utm_term=gmb,talgat-eksport.all.biz/?utm_source=google&utm_medium=gmb&utm_term=gmb,+7 701 361 0699,Astana,Kazakhstan
Asar Su,https://asarsu.kz/,asarsu.kz,+7 747 584 8447,Astana,Kazakhstan
ICEMOOZ,http://instagram.com/icemooz_astana,instagram.com/icemooz_astana,+7 777 036 9708,Astana,Kazakhstan
Солод,https://m.2gis.kz/astana/firm/70000001031459163,m.2gis.kz/astana/firm/70000001031459163,+7 702 639 4548,Astana,Kazakhstan
